customerPK,customer,customerCode,channelFK,adressFK,startDate,endDate,flag
1,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.684,,y
2,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.693,,y
3,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
4,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
5,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
6,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
7,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
8,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.694,,y
9,"Attijari Bank , Groupe Alyssa",000121J/P/M000,1,413,2026-04-21 19:46:08.694,,y
10,Attijari Bank Groupe Bizerte,000121J/P/M000,1,414,2026-04-21 19:46:08.694,,y
11,"Attijari Bank , CA Avenue de Paris",000121J/P/M000,1,415,2026-04-21 19:46:08.695,,y
12,Attijari Bank Groupe Cap Bon,000121J/P/M000,1,416,2026-04-21 19:46:08.695,,y
13,Centres d'affaires Centre & Cap bon,000121J/P/M000,1,417,2026-04-21 19:46:08.695,,y
14,Attijari Bank Direction Régionale Centre & Cap Bon,000121J/P/M000,1,418,2026-04-21 19:46:08.695,,y
15,"Attijari Bank , Gafsa",000121J/P/M000,1,419,2026-04-21 19:46:08.695,,y
16,"Attijari Bank , Groupe Al Aghaliba",000121J/P/M000,1,420,2026-04-21 19:46:08.695,,y
17,"Attijari Bank , Groupe El ksour",000121J/P/M000,1,421,2026-04-21 19:46:08.695,,y
18,"Attijari Bank , Groupe Oasis",000121J/P/M000,1,422,2026-04-21 19:46:08.695,,y
19,"Attijari Bank , Groupe Lafayette",000121J/P/M000,1,423,2026-04-21 19:46:08.695,,y
20,"Attijari Bank , Groupe Ariana Les Jasmins",000121J/P/M000,1,424,2026-04-21 19:46:08.695,,y
21,"Attijari Bank , Groupe Ben Arous Maxula",000121J/P/M000,1,425,2026-04-21 19:46:08.695,,y
22,"Attijari Bank , Région Tunis Menzah 5",000121J/P/M000,1,426,2026-04-21 19:46:08.695,,y
23,"Attijari Bank , Al Ribat",000121J/P/M000,1,427,2026-04-21 19:46:08.695,,y
24,"Attijari Bank , Groupe Nord Ouest",000121J/P/M000,1,428,2026-04-21 19:46:08.695,,y
25,"Attijari Bank , Sfax",000121J/P/M000,1,429,2026-04-21 19:46:08.695,,y
26,"Attijari Bank , Sfax",000121J/P/M000,1,429,2026-04-21 19:46:08.695,,y
27,"Attijari Bank , Sfax",000121J/P/M000,1,429,2026-04-21 19:46:08.695,,y
28,"Attijari Bank , Groupe AL Jawhara",000121J/P/M000,1,430,2026-04-21 19:46:08.696,,y
29,Attijari Bank,000121J/P/M000,1,401,2026-04-21 19:46:08.696,,y
30,"Attijari Bank , Djerba Zarzis",000121J/P/M000,1,431,2026-04-21 19:46:08.696,,y
31,"Attijari Bank , CA BELVEDERE",000121J/P/M000,1,225,2026-04-21 19:46:08.696,,y
32,"Attijari Bank , CA MEGRINE",000121J/P/M000,1,432,2026-04-21 19:46:08.696,,y
33,"Attijari Bank , centres d'affaires Régions Tunis",000121J/P/M000,1,401,2026-04-21 19:46:08.696,,y
34,"Attijari Bank , centre d'affaires Régions Tunis",000121J/P/M000,1,433,2026-04-21 19:46:08.696,,y
35,"Attijari Bank , Direction Régionale Tunis & Nord",000121J/P/M000,1,434,2026-04-21 19:46:08.696,,y
36,"Attijari Bank , Groupe Hannibal",000121J/P/M000,1,434,2026-04-21 19:46:08.696,,y
37,WIFAK INTERNATIONAL BANK,0798651L/P/M/000,1,404,2026-04-21 19:46:08.696,,y
38,Lilas,492586 Z/A/M/000,1,410,2026-04-21 19:46:08.696,,y
39,SBCD,849384V/A/M/000,1,435,2026-04-21 19:46:08.696,,y
40,SBCD,849384V/A/M/000,1,435,2026-04-21 19:46:08.696,,y
41,SBCD,849384V/A/M/000,1,435,2026-04-21 19:46:08.696,,y
42,SBCD,849384V/A/M/000,1,435,2026-04-21 19:46:08.696,,y
43,SBCD,849384V/A/M/000,1,435,2026-04-21 19:46:08.696,,y
44,Tunis Call Center,0633781K/A/M/000,1,406,2026-04-21 19:46:08.696,,y
45,Tunis Call Center,0633781K/A/M/000,1,406,2026-04-21 19:46:08.696,,y
46,Tunis Call Center,0633781K/A/M/000,1,406,2026-04-21 19:46:08.696,,y
47,T T E INTERNATIONAL,745311C/A/M/000,1,436,2026-04-21 19:46:08.696,,y
48,Tunis Call Center,0633781K/A/M/000,1,406,2026-04-21 19:46:08.696,,y
49,Tunis Call Center,0633781K/A/M/000,1,406,2026-04-21 19:46:08.697,,y
